code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000001,city of london,12/1/99,33020,,48922.0,0,6581,,,,1
E09000002,barking and dagenham,12/1/99,21480,,23620.0,3,162444,,,,1
E09000003,barnet,12/1/99,19568,,23128.0,8,313469,,,,1
E09000004,bexley,12/1/99,18621,,21386.0,18,217458,,,,1
E09000005,brent,12/1/99,18532,,20911.0,6,260317,,,,1
E09000006,bromley,12/1/99,16720,,21293.0,13,294902,,,,1
E09000007,camden,12/1/99,23677,,30249.0,13,190003,,,,1
E09000008,croydon,12/1/99,19563,,22205.0,13,332066,,,,1
E09000009,ealing,12/1/99,20580,,25046.0,12,302252,,,,1
E09000010,enfield,12/1/99,19289,,21006.0,9,272731,,,,1
E09000011,greenwich,12/1/99,21236,,22263.0,4,212168,,,,1
E09000012,hackney,12/1/99,23249,,39629.0,2,199087,,,,1
E09000013,hammersmith and fulham,12/1/99,25000,,28555.0,7,160634,,,,1
E09000014,haringey,12/1/99,18783,,21683.0,5,218559,,,,1
E09000015,harrow,12/1/99,20596,,22824.0,10,207909,,,,1
E09000016,havering,12/1/99,17165,,18786.0,8,225712,,,,1
E09000017,hillingdon,12/1/99,24002,,28854.0,11,245053,,,,1
E09000018,hounslow,12/1/99,20155,,24602.0,14,214298,,,,1
E09000019,islington,12/1/99,25113,,34180.0,2,175717,,,,1
E09000020,kensington and chelsea,12/1/99,20646,,28074.0,13,147678,,,,1
E09000021,kingston upon thames,12/1/99,19302,,22967.0,18,146003,,,,1
E09000022,lambeth,12/1/99,23151,,27930.0,8,266817,,,,1
E09000023,lewisham,12/1/99,20580,,23283.0,4,250310,,,,1
E09000024,merton,12/1/99,18962,,21867.0,11,185062,,,,1
E09000025,newham,12/1/99,18862,,20580.0,3,240517,,,,1
E09000026,redbridge,12/1/99,19580,,22087.0,8,238138,,,,1
E09000027,richmond upon thames,12/1/99,22321,,25832.0,na,172782,,,,1
E09000028,southwark,12/1/99,22784,,26994.0,3,247853,,,,1
E09000029,sutton,12/1/99,19582,,22725.0,27,179375,,,,1
E09000030,tower hamlets,12/1/99,26376,,37524.0,3,193507,,,,1
E09000031,waltham forest,12/1/99,18547,,19888.0,9,221057,,,,1
E09000032,wandsworth,12/1/99,21321,,24707.0,7,264220,,,,1
E09000033,westminster,12/1/99,24447,,36167.0,7,189233,,,,1
E12000001,north east,12/1/99,16282,,18351.0,5,2550314,,,,0
E12000002,north west,12/1/99,16977,,19609.0,7,6773115,,,,0
E12000003,yorkshire and the humber,12/1/99,16527,,18977.0,7,4956325,,,,0
E12000004,east midlands,12/1/99,16392,,18864.0,11,4152443,,,,0
E12000005,west midlands,12/1/99,17000,,19686.0,9,5271959,,,,0
E12000006,east,12/1/99,18000,,20866.0,14,5338722,,,,0
E12000007,london,12/1/99,22487,,29640.0,9,7153912,,,,0
E12000008,south east,12/1/99,18737,,22361.0,15,7955124,,,,0
E12000009,south west,12/1/99,16727,,19203.0,14,4880958,,,,0
E13000001,inner london,12/1/99,,,-,,2750716,,,,0
E13000002,outer london,12/1/99,,,-,,4403196,,,,0
E92000001,england,12/1/99,17939,,21561.0,10,49032872,,,,0
K02000001,united kingdom,12/1/99,17803,,21314.0,,58684427,,,,0
K03000001,great britain,12/1/99,17866,,21379.0,,57005421,,,,0
K04000001,england and wales,12/1/99,17974,,21549.0,,51933471,,,,0
N92000002,northern ireland,12/1/99,15798,,19093.0,,1679006,,,,0
