date,area,median_salary,life_satisfaction,population_size,number_of_jobs,area_size,no_of_houses
1999-12-31,barking and dagenham,21480.0,,162444.0,,,
2000-01-31,barking and dagenham,21574.833333333332,,162564.75,,,
2000-02-29,barking and dagenham,21669.666666666668,,162685.5,,,
2000-03-31,barking and dagenham,21764.5,,162806.25,,,
2000-04-30,barking and dagenham,21859.333333333332,,162927.0,,,
2000-05-31,barking and dagenham,21954.166666666668,,163047.75,,,
2000-06-30,barking and dagenham,22049.0,,163168.5,,,
2000-07-31,barking and dagenham,22143.833333333332,,163289.25,,,
2000-08-31,barking and dagenham,22238.666666666668,,163410.0,,,
2000-09-30,barking and dagenham,22333.5,,163530.75,,,
2000-10-31,barking and dagenham,22428.333333333332,,163651.5,,,
2000-11-30,barking and dagenham,22523.166666666668,,163772.25,,,
2000-12-31,barking and dagenham,22618.0,,163893.0,57000.0,,
2001-01-31,barking and dagenham,22593.416666666668,,164039.75,56750.0,,
2001-02-28,barking and dagenham,22568.833333333332,,164186.5,56500.0,,
2001-03-31,barking and dagenham,22544.25,,164333.25,56250.0,,
2001-04-30,barking and dagenham,22519.666666666668,,164480.0,56000.0,,
2001-05-31,barking and dagenham,22495.083333333332,,164626.75,55750.0,,
2001-06-30,barking and dagenham,22470.5,,164773.5,55500.0,,
2001-07-31,barking and dagenham,22445.916666666668,,164920.25,55250.0,,
2001-08-31,barking and dagenham,22421.333333333332,,165067.0,55000.0,,
2001-09-30,barking and dagenham,22396.75,,165213.75,54750.0,,
2001-10-31,barking and dagenham,22372.166666666668,,165360.5,54500.0,,
2001-11-30,barking and dagenham,22347.583333333332,,165507.25,54250.0,,
2001-12-31,barking and dagenham,22323.0,,165654.0,54000.0,3780.0,68298.0
2002-01-31,barking and dagenham,22530.5,,165712.58333333334,53833.333333333336,3780.0,68317.0
2002-02-28,barking and dagenham,22738.0,,165771.16666666666,53666.666666666664,3780.0,68336.0
2002-03-31,barking and dagenham,22945.5,,165829.75,53500.0,3780.0,68355.0
2002-04-30,barking and dagenham,23153.0,,165888.33333333334,53333.333333333336,3780.0,68374.0
2002-05-31,barking and dagenham,23360.5,,165946.91666666666,53166.666666666664,3780.0,68393.0
2002-06-30,barking and dagenham,23568.0,,166005.5,53000.0,3780.0,68412.0
2002-07-31,barking and dagenham,23775.5,,166064.08333333334,52833.333333333336,3780.0,68431.0
2002-08-31,barking and dagenham,23983.0,,166122.66666666666,52666.666666666664,3780.0,68450.0
2002-09-30,barking and dagenham,24190.5,,166181.25,52500.0,3780.0,68469.0
2002-10-31,barking and dagenham,24398.0,,166239.83333333334,52333.333333333336,3780.0,68488.0
2002-11-30,barking and dagenham,24605.5,,166298.41666666666,52166.666666666664,3780.0,68507.0
2002-12-31,barking and dagenham,24813.0,,166357.0,52000.0,3780.0,68526.0
2003-01-31,barking and dagenham,24858.416666666668,,166344.75,52250.0,3780.0,68551.91666666667
2003-02-28,barking and dagenham,24903.833333333332,,166332.5,52500.0,3780.0,68577.83333333333
